Division,Estructura,Primaria_2019,Secundaria_2019,Primaria_2020,Secundaria_2020,Primaria_2021,Secundaria_2021
Total País,,96.98237152131829,82.51555032947707,98.98161166900388,93.67613368697526,97.36419716959374,86.59003003522116
Buenos Aires                                      ,6-6,96.67380990054508,83.70366973514435,99.55494633259973,96.81283574173096,97.09972669453644,88.83773976153448
Conurbano                            ,6-6,96.58118321797176,83.1856564723087,99.17572794278625,96.96017589347161,96.75143323157931,88.75257467023125
Resto de Bs As                                   ,6-6,96.8271025050152,84.54374323730094,100.1822986226494,96.57591754407976,97.6691803543492,88.9754318838243
Catamarca                                         ,6-6,97.86378722011872,84.16785438912125,99.1952802359882,94.34273851089931,97.39492067942338,86.43149164817194
Chaco                                             ,7-5,96.38906625315455,80.74985899326136,99.5492388489557,91.70504168320763,97.46942914755374,79.43812014460427
Chubut                                            ,6-6,98.74667617874051,86.18826212825687,99.0248255719617,88.34117546411156,98.85962619265456,83.55638310252532
Ciudad de Buenos Aires                            ,7-5,98.70267592712102,85.7070513312361,98.21447202765586,97.04896524154614,97.68872742180018,89.16111758089721
Cordoba                                           ,6-6,99.28068611478282,85.4800420939282,99.80645431567777,87.12164788655643,99.33003868477333,87.5584119059731
Corrientes                                        ,6-6,90.90121119500012,80.54559879180646,94.39660427970493,91.62741106910923,92.82374250657452,87.1751807790996
Entre Rios                                        ,6-6,95.51841707324033,80.52515715772994,96.50456898204358,80.69739466269904,95.14358404902802,84.90081570665873
Formosa                                           ,6-6,95.65571957759717,81.15453441554291,97.30346085802742,89.61922616931183,97.1428177252911,79.9181869475268
Jujuy                                             ,7-5,99.68009478672985,78.58376770665906,99.62096541709819,87.31747308501423,100.00317091216573,85.03386105754137
La Pampa                                          ,6-6,99.43767017876169,82.39659077363214,100.50010296237461,94.66670563137438,99.75492341356674,83.65428571428572
La Rioja                                          ,7-5,97.74889166272112,89.12457480264425,99.0190983500065,94.65809203722854,98.23058498586626,89.72568105682322
Mendoza                                           ,7-5,96.27280208476203,84.97772265858252,100.02249298685646,95.03460294827202,95.56344165311971,85.49746708556744
Misiones                                          ,7-5,94.31342019721927,75.6648253485841,95.07392637204633,80.76623982580745,94.33823490222622,81.44956866593074
Neuquén                                           ,7-5,99.41121083181369,76.06750549231076,101.12756129337912,94.78051761181085,98.96450910276869,81.22754761260042
Rio Negro                                         ,7-5,98.95233525271912,84.91517191713142,99.40176428836989,87.17102549294613,99.25026657188555,79.50405756417082
Salta                                             ,7-5,97.55288061982253,76.25487290183318,97.32390292640602,91.43923240938166,97.39214155607598,81.65753988351481
San Juan                                          ,6-6,96.14168742529687,82.69989148558876,98.97777975093787,95.87807816365921,96.23459582308227,88.28300596110623
San Luis                                          ,6-6,94.8566218202795,85.20884419625378,97.97145575642246,92.77500721262828,96.7804633977369,88.16815863123003
Santa Cruz                                        ,7-5,98.61702625544063,89.70942642704675,99.98828463647227,94.12773109243697,99.6512662079296,91.65082944113384
Santa Fe                                          ,7-5,98.39324726388219,75.7747974271499,100.11861187529556,95.8142808358945,98.79275240112703,81.38051764559752
Santiago Del Estero                               ,7-5,93.64298310484101,79.01349105106497,95.97672876606849,90.60590598055762,96.18244500459903,80.77411331899789
Tierra Del Fuego                                  ,6-6,99.30575314402778,88.49802604442874,99.8018007814712,93.47586766324815,99.4184405171927,91.1733348296953
Tucumán                                           ,6-6,97.50691876555268,81.01876852156734,100.87276336145246,97.80548424100071,99.71685134124552,88.80286812844227
Tasa de Promoción Efectiva: Porcentaje de alumnos que se matriculan en el año de estudio siguiente al año lectivo siguiente.   ,,,,,,,
"Fuente: Relevamientos Anuales 2019 y 2020, DIE, ME.",,,,,,,
Ley N° 26.206 (14/12/2006),,,,,,,
Estructura Educativa:,1° Año,2° Año,10° Año,2° Año,10° Año,2° Año,10° Año
Educación Primaria de 6 años y Educación Secundaria de 6 años,1° Primaria,2° Primaria,4° Secundaria,2° Primaria,4° Secundaria,2° Primaria,4° Secundaria
Educación Primaria de 7 años y Educación Secundaria de 5 años,1° Primaria,2° Primaria,3° Secundaria,2° Primaria,3° Secundaria,2° Primaria,3° Secundaria
Realizado: 03/03/2022,,,,,,,
"Fuente: Relevamientos Anuales 2020 y 2021, DIE, ME.",,,,,,,
Realizado:  04/11/2022,,,,,,,
Fuente: Relevamientos Anuales 2021 y 2022. Red-FIE. DIE.,,,,,,,
Realización: 30/06/2023,,,,,,,
